gpsno,S_final,risk_pct,evidence_flag,rule_version
95300614,79.238,0.20762,ok,task2-final-rules-v1
95300642,83.382,0.16618,ok,task2-final-rules-v1
95300646,54.794,0.45206,ok,task2-final-rules-v1
95300658,91.202,0.08798,ok,task2-final-rules-v1
95300659,77.953,0.22047,ok,task2-final-rules-v1
95300660,86.249,0.13751,ok,task2-final-rules-v1
95300663,76.704,0.23296,ok,task2-final-rules-v1
95300668,84.409,0.15591,ok,task2-final-rules-v1
95300672,88.119,0.11881,ok,task2-final-rules-v1
95300676,90.583,0.09417,ok,task2-final-rules-v1
95300696,73.319,0.26681,ok,task2-final-rules-v1
95300698,89.984,0.10016,ok,task2-final-rules-v1
95300702,72.59,0.2741,ok,task2-final-rules-v1
95300709,71.586,0.28414,ok,task2-final-rules-v1
95300712,76.894,0.23106,ok,task2-final-rules-v1
95300716,77.413,0.22587,ok,task2-final-rules-v1
95300720,76.933,0.23067,ok,task2-final-rules-v1
95300726,91.612,0.08388,ok,task2-final-rules-v1
95300737,83.737,0.16263,ok,task2-final-rules-v1
95300740,74.938,0.25062,ok,task2-final-rules-v1
95300749,78.675,0.21325,ok,task2-final-rules-v1
95300752,82.608,0.17392,ok,task2-final-rules-v1
95300760,79.411,0.20589,ok,task2-final-rules-v1
95300762,72.114,0.27886,ok,task2-final-rules-v1
95300787,81.481,0.18519,ok,task2-final-rules-v1
95300798,77.407,0.22593,ok,task2-final-rules-v1
95300818,78.66,0.2134,ok,task2-final-rules-v1
95300835,87.984,0.12016,ok,task2-final-rules-v1
95300836,85.279,0.14721,ok,task2-final-rules-v1
95300853,80.416,0.19584,ok,task2-final-rules-v1
95300854,75.917,0.24083,ok,task2-final-rules-v1
95300858,83.357,0.16643,ok,task2-final-rules-v1
95300859,72.437,0.27563,ok,task2-final-rules-v1
95300862,77.658,0.22342,ok,task2-final-rules-v1
95300865,75.344,0.24656,ok,task2-final-rules-v1
95300880,92.28,0.0772,ok,task2-final-rules-v1
95300883,77.299,0.22701,ok,task2-final-rules-v1
95300888,84.802,0.15198,ok,task2-final-rules-v1
95300889,87.675,0.12325,ok,task2-final-rules-v1
95300892,77.972,0.22028,ok,task2-final-rules-v1
95300899,88.258,0.11742,ok,task2-final-rules-v1
95300901,75.672,0.24328,ok,task2-final-rules-v1
95300902,75.118,0.24882,ok,task2-final-rules-v1
95300920,90.367,0.09633,ok,task2-final-rules-v1
95300921,78.18,0.2182,ok,task2-final-rules-v1
95300922,79.731,0.20269,ok,task2-final-rules-v1
95300926,94.392,0.05608,ok,task2-final-rules-v1
95300931,92.677,0.07323,ok,task2-final-rules-v1
95300945,79.092,0.20908,ok,task2-final-rules-v1
95300959,92.871,0.07129,ok,task2-final-rules-v1
95300964,80.459,0.19541,ok,task2-final-rules-v1
95301029,92.981,0.07019,ok,task2-final-rules-v1
95301049,78.296,0.21704,ok,task2-final-rules-v1
95301051,95.849,0.04151,ok,task2-final-rules-v1
95301061,77.467,0.22533,ok,task2-final-rules-v1
95301079,78.108,0.21892,ok,task2-final-rules-v1
95301082,68.8,0.312,ok,task2-final-rules-v1
95301096,80.058,0.19942,ok,task2-final-rules-v1
95301098,80.128,0.19872,ok,task2-final-rules-v1
95301101,76.79,0.2321,ok,task2-final-rules-v1
95301105,93.12,0.0688,ok,task2-final-rules-v1
95301107,72.593,0.27407,ok,task2-final-rules-v1
95301127,78.278,0.21722,ok,task2-final-rules-v1
95301129,77.764,0.22236,ok,task2-final-rules-v1
95301144,92.566,0.07434,ok,task2-final-rules-v1
95301151,76.954,0.23046,ok,task2-final-rules-v1
95301152,91.229,0.08771,ok,task2-final-rules-v1
95301155,92.424,0.07576,ok,task2-final-rules-v1
95301161,82.96,0.1704,ok,task2-final-rules-v1
95301167,79.376,0.20624,ok,task2-final-rules-v1
95301198,92.843,0.07157,ok,task2-final-rules-v1
95301199,85.021,0.14979,ok,task2-final-rules-v1
95301206,87.449,0.12551,ok,task2-final-rules-v1
95301207,78.99,0.2101,ok,task2-final-rules-v1
95301219,83.264,0.16736,ok,task2-final-rules-v1
95301229,79.337,0.20663,ok,task2-final-rules-v1
95301231,79.667,0.20333,ok,task2-final-rules-v1
95301247,88.903,0.11097,ok,task2-final-rules-v1
95301279,93.328,0.06672,ok,task2-final-rules-v1
95301283,85.003,0.14997,ok,task2-final-rules-v1
95301286,93.4,0.066,ok,task2-final-rules-v1
95301297,91.465,0.08535,ok,task2-final-rules-v1
95301303,91.323,0.08677,ok,task2-final-rules-v1
95301316,87.664,0.12336,ok,task2-final-rules-v1
95301320,72.245,0.27755,ok,task2-final-rules-v1
95301325,80.09,0.1991,ok,task2-final-rules-v1
95301329,74.681,0.25319,ok,task2-final-rules-v1
95301330,81.058,0.18942,ok,task2-final-rules-v1
95301342,76.021,0.23979,ok,task2-final-rules-v1
95301351,83.601,0.16399,ok,task2-final-rules-v1
95301353,89.982,0.10018,ok,task2-final-rules-v1
95301356,80.818,0.19182,ok,task2-final-rules-v1
95301384,75.62,0.2438,ok,task2-final-rules-v1
95301394,89.71,0.1029,ok,task2-final-rules-v1
95301399,89.459,0.10541,ok,task2-final-rules-v1
95301406,74.989,0.25011,ok,task2-final-rules-v1
95301407,74.712,0.25288,ok,task2-final-rules-v1
95301439,92.939,0.07061,ok,task2-final-rules-v1
95301447,87.197,0.12803,ok,task2-final-rules-v1
95301471,70.35,0.2965,ok,task2-final-rules-v1
95301480,77.608,0.22392,ok,task2-final-rules-v1
95301496,67.966,0.32034,ok,task2-final-rules-v1
95301497,74.77,0.2523,ok,task2-final-rules-v1
95301498,78.029,0.21971,ok,task2-final-rules-v1
95301504,67.822,0.32178,ok,task2-final-rules-v1
95301529,78.737,0.21263,ok,task2-final-rules-v1
95301530,81.972,0.18028,ok,task2-final-rules-v1
95301543,77.63,0.2237,ok,task2-final-rules-v1
95301548,75.858,0.24142,ok,task2-final-rules-v1
95301549,76.435,0.23565,ok,task2-final-rules-v1
95301555,87.861,0.12139,ok,task2-final-rules-v1
95301559,89.582,0.10418,ok,task2-final-rules-v1
95301562,90.518,0.09482,ok,task2-final-rules-v1
95301567,84.386,0.15614,ok,task2-final-rules-v1
95301575,87.45,0.1255,ok,task2-final-rules-v1
95301584,90.777,0.09223,ok,task2-final-rules-v1
95301588,86.866,0.13134,ok,task2-final-rules-v1
95301616,90.138,0.09862,ok,task2-final-rules-v1
95301638,84.692,0.15308,ok,task2-final-rules-v1
95301648,92.15,0.0785,ok,task2-final-rules-v1
95301651,92.064,0.07936,ok,task2-final-rules-v1
95301656,90.733,0.09267,ok,task2-final-rules-v1
95301657,93.671,0.06329,ok,task2-final-rules-v1
95301659,83.573,0.16427,ok,task2-final-rules-v1
95301660,90.118,0.09882,ok,task2-final-rules-v1
95301663,88.79,0.1121,ok,task2-final-rules-v1
95301667,89.65,0.1035,low_exposure_shrunk,task2-final-rules-v1
95301673,88.809,0.11191,ok,task2-final-rules-v1
95301683,83.305,0.16695,ok,task2-final-rules-v1
95301685,90.089,0.09911,ok,task2-final-rules-v1
95301694,92.636,0.07364,ok,task2-final-rules-v1
95301695,84.314,0.15686,ok,task2-final-rules-v1
95301700,92.106,0.07894,ok,task2-final-rules-v1
95301725,85.369,0.14631,ok,task2-final-rules-v1
95301728,91.023,0.08977,ok,task2-final-rules-v1
95301732,90.219,0.09781,ok,task2-final-rules-v1
95301748,88.913,0.11087,ok,task2-final-rules-v1
95301802,93.638,0.06362,ok,task2-final-rules-v1
95301812,87.584,0.12416,ok,task2-final-rules-v1
95301813,92.425,0.07575,ok,task2-final-rules-v1
95301814,86.039,0.13961,ok,task2-final-rules-v1
95301815,89.243,0.10757,low_exposure_shrunk,task2-final-rules-v1
95301853,90.168,0.09832,ok,task2-final-rules-v1
95301860,84.49,0.1551,ok,task2-final-rules-v1
95301862,87.686,0.12314,ok,task2-final-rules-v1
95301879,92.123,0.07877,ok,task2-final-rules-v1
95301904,88.79,0.1121,low_exposure_shrunk,task2-final-rules-v1
95301935,77.642,0.22358,ok,task2-final-rules-v1
95301962,87.552,0.12448,ok,task2-final-rules-v1
95301991,88.742,0.11258,ok,task2-final-rules-v1
95301994,89.517,0.10483,ok,task2-final-rules-v1
95302007,90.181,0.09819,ok,task2-final-rules-v1
95302009,88.859,0.11141,ok,task2-final-rules-v1
95302015,90.04,0.0996,ok,task2-final-rules-v1
95302029,91.049,0.08951,ok,task2-final-rules-v1
95302035,83.715,0.16285,ok,task2-final-rules-v1
95302041,90.242,0.09758,ok,task2-final-rules-v1
95302073,92.554,0.07446,ok,task2-final-rules-v1
95302079,73.584,0.26416,ok,task2-final-rules-v1
95302080,91.521,0.08479,ok,task2-final-rules-v1
95302082,92.21,0.0779,ok,task2-final-rules-v1
95302118,84.302,0.15698,ok,task2-final-rules-v1
95302139,92.419,0.07581,ok,task2-final-rules-v1
95302142,92.429,0.07571,ok,task2-final-rules-v1
95302144,93.349,0.06651,ok,task2-final-rules-v1
95302153,87.177,0.12823,ok,task2-final-rules-v1
95302154,92.437,0.07563,ok,task2-final-rules-v1
95302159,93.559,0.06441,ok,task2-final-rules-v1
95302176,90.773,0.09227,ok,task2-final-rules-v1
95302177,87.708,0.12292,ok,task2-final-rules-v1
95302179,89.833,0.10167,ok,task2-final-rules-v1
95302181,89.104,0.10896,ok,task2-final-rules-v1
95302185,94.709,0.05291,ok,task2-final-rules-v1
95302186,92.338,0.07662,ok,task2-final-rules-v1
95302187,94.057,0.05943,ok,task2-final-rules-v1
95302198,84.996,0.15004,ok,task2-final-rules-v1
95302268,93.527,0.06473,ok,task2-final-rules-v1
95302275,90.319,0.09681,ok,task2-final-rules-v1
95302281,92.269,0.07731,ok,task2-final-rules-v1
95302284,84.685,0.15315,ok,task2-final-rules-v1
95302286,83.873,0.16127,ok,task2-final-rules-v1
95302307,90.081,0.09919,ok,task2-final-rules-v1
95302312,87.149,0.12851,ok,task2-final-rules-v1
95302323,89.576,0.10424,ok,task2-final-rules-v1
95302324,91.442,0.08558,ok,task2-final-rules-v1
95302328,91.204,0.08796,ok,task2-final-rules-v1
95302333,93.46,0.0654,ok,task2-final-rules-v1
95302340,92.76,0.0724,ok,task2-final-rules-v1
95302347,90.249,0.09751,ok,task2-final-rules-v1
95302350,88.495,0.11505,ok,task2-final-rules-v1
95302364,90.548,0.09452,ok,task2-final-rules-v1
95302365,89.461,0.10539,ok,task2-final-rules-v1
95302380,91.262,0.08738,ok,task2-final-rules-v1
95302390,75.076,0.24924,ok,task2-final-rules-v1
95302401,89.279,0.10721,ok,task2-final-rules-v1
95302403,90.842,0.09158,ok,task2-final-rules-v1
95302405,90.63,0.0937,ok,task2-final-rules-v1
95302407,86.292,0.13708,ok,task2-final-rules-v1
95302413,89.665,0.10335,ok,task2-final-rules-v1
95302422,89.625,0.10375,ok,task2-final-rules-v1
95302432,87.118,0.12882,ok,task2-final-rules-v1
95302436,98.244,0.01756,ok,task2-final-rules-v1
95302450,91.765,0.08235,ok,task2-final-rules-v1
95302451,75.523,0.24477,ok,task2-final-rules-v1
95302457,90.878,0.09122,ok,task2-final-rules-v1
95302463,88.318,0.11682,ok,task2-final-rules-v1
95302464,93.954,0.06046,ok,task2-final-rules-v1
95302466,89.028,0.10972,ok,task2-final-rules-v1
95302470,93.469,0.06531,ok,task2-final-rules-v1
95302479,90.93,0.0907,ok,task2-final-rules-v1
95302480,86.582,0.13418,ok,task2-final-rules-v1
95302483,94.412,0.05588,ok,task2-final-rules-v1
95302484,88.509,0.11491,ok,task2-final-rules-v1
95302487,90.749,0.09251,ok,task2-final-rules-v1
95302508,91.049,0.08951,ok,task2-final-rules-v1
95302511,92.483,0.07517,ok,task2-final-rules-v1
95302516,88.365,0.11635,ok,task2-final-rules-v1
95302524,87.537,0.12463,ok,task2-final-rules-v1
95302555,91.758,0.08242,ok,task2-final-rules-v1
95302577,90.442,0.09558,ok,task2-final-rules-v1
95302584,89.42,0.1058,ok,task2-final-rules-v1
95302599,95.408,0.04592,ok,task2-final-rules-v1
95302602,92.093,0.07907,ok,task2-final-rules-v1
95302604,92.967,0.07033,ok,task2-final-rules-v1
95302612,88.79,0.1121,low_exposure_shrunk,task2-final-rules-v1
95302616,87.775,0.12225,ok,task2-final-rules-v1
95302620,86.311,0.13689,ok,task2-final-rules-v1
95302648,81.959,0.18041,ok,task2-final-rules-v1
95302652,91.577,0.08423,ok,task2-final-rules-v1
95302653,83.437,0.16563,ok,task2-final-rules-v1
95302660,89.59,0.1041,ok,task2-final-rules-v1
95302662,82.482,0.17518,ok,task2-final-rules-v1
95302664,87.121,0.12879,ok,task2-final-rules-v1
95302668,91.699,0.08301,ok,task2-final-rules-v1
95302689,92.752,0.07248,ok,task2-final-rules-v1
95302694,90.202,0.09798,ok,task2-final-rules-v1
95302698,89.32,0.1068,ok,task2-final-rules-v1
95302707,79.812,0.20188,ok,task2-final-rules-v1
95302715,89.754,0.10246,ok,task2-final-rules-v1
95302719,94.925,0.05075,ok,task2-final-rules-v1
95302720,80.604,0.19396,ok,task2-final-rules-v1
95302730,92.366,0.07634,ok,task2-final-rules-v1
95302733,87.192,0.12808,ok,task2-final-rules-v1
95302737,91.096,0.08904,ok,task2-final-rules-v1
95302741,85.058,0.14942,ok,task2-final-rules-v1
95302742,91.094,0.08906,ok,task2-final-rules-v1
95302746,86.883,0.13117,ok,task2-final-rules-v1
95302753,84.335,0.15665,ok,task2-final-rules-v1
95302759,92.808,0.07192,ok,task2-final-rules-v1
95302771,83.483,0.16517,ok,task2-final-rules-v1
95302785,91.114,0.08886,ok,task2-final-rules-v1
95302793,91.025,0.08975,ok,task2-final-rules-v1
95302799,81.647,0.18353,ok,task2-final-rules-v1
95302801,89.289,0.10711,ok,task2-final-rules-v1
95302803,92.724,0.07276,ok,task2-final-rules-v1
95302811,89.375,0.10625,ok,task2-final-rules-v1
95302813,91.757,0.08243,ok,task2-final-rules-v1
95302816,88.535,0.11465,ok,task2-final-rules-v1
95302831,89.096,0.10904,low_exposure_shrunk,task2-final-rules-v1
95302837,94.024,0.05976,ok,task2-final-rules-v1
95302850,93.563,0.06437,ok,task2-final-rules-v1
95302873,89.436,0.10564,ok,task2-final-rules-v1
95302886,89.745,0.10255,ok,task2-final-rules-v1
95302903,89.735,0.10265,ok,task2-final-rules-v1
95302926,90.961,0.09039,ok,task2-final-rules-v1
95302927,88.352,0.11648,ok,task2-final-rules-v1
95302928,89.488,0.10512,ok,task2-final-rules-v1
95302933,92.228,0.07772,ok,task2-final-rules-v1
95302944,90.069,0.09931,ok,task2-final-rules-v1
95302965,90.953,0.09047,ok,task2-final-rules-v1
95302969,92.344,0.07656,ok,task2-final-rules-v1
95302982,95.635,0.04365,ok,task2-final-rules-v1
95302991,91.996,0.08004,ok,task2-final-rules-v1
95303002,91.878,0.08122,ok,task2-final-rules-v1
95303016,88.106,0.11894,ok,task2-final-rules-v1
95303021,92.535,0.07465,ok,task2-final-rules-v1
95303029,89.197,0.10803,ok,task2-final-rules-v1
95303055,87.263,0.12737,ok,task2-final-rules-v1
95303095,74.739,0.25261,ok,task2-final-rules-v1
95303101,89.918,0.10082,ok,task2-final-rules-v1
95303124,92.247,0.07753,ok,task2-final-rules-v1
95303127,91.56,0.0844,ok,task2-final-rules-v1
95303128,86.891,0.13109,ok,task2-final-rules-v1
95303135,90.875,0.09125,ok,task2-final-rules-v1
95303137,82.926,0.17074,ok,task2-final-rules-v1
95303140,88.635,0.11365,ok,task2-final-rules-v1
95303141,88.343,0.11657,ok,task2-final-rules-v1
95303149,89.096,0.10904,low_exposure_shrunk,task2-final-rules-v1
95303152,89.751,0.10249,ok,task2-final-rules-v1
95303155,91.27,0.0873,ok,task2-final-rules-v1
95303158,72.316,0.27684,ok,task2-final-rules-v1
95303167,89.992,0.10008,ok,task2-final-rules-v1
95303168,91.23,0.0877,ok,task2-final-rules-v1
95303192,89.539,0.10461,ok,task2-final-rules-v1
95303204,84.552,0.15448,ok,task2-final-rules-v1
95303208,90.339,0.09661,ok,task2-final-rules-v1
95303216,94.055,0.05945,ok,task2-final-rules-v1
95303226,89.314,0.10686,ok,task2-final-rules-v1
95303263,83.143,0.16857,ok,task2-final-rules-v1
95303277,78.155,0.21845,ok,task2-final-rules-v1
95303312,88.981,0.11019,ok,task2-final-rules-v1
95303322,78.306,0.21694,ok,task2-final-rules-v1
95303331,94.211,0.05789,ok,task2-final-rules-v1
95303335,78.041,0.21959,ok,task2-final-rules-v1
95303367,76.371,0.23629,ok,task2-final-rules-v1
95303368,89.15,0.1085,ok,task2-final-rules-v1
95303372,89.73,0.1027,ok,task2-final-rules-v1
95303380,86.558,0.13442,ok,task2-final-rules-v1
95303381,91.566,0.08434,ok,task2-final-rules-v1
95303386,95.451,0.04549,ok,task2-final-rules-v1
95303395,88.229,0.11771,ok,task2-final-rules-v1
95303396,93.233,0.06767,ok,task2-final-rules-v1
95303398,92.356,0.07644,ok,task2-final-rules-v1
95303406,93.057,0.06943,ok,task2-final-rules-v1
95303407,83.035,0.16965,ok,task2-final-rules-v1
95303411,92.156,0.07844,ok,task2-final-rules-v1
95303414,91.158,0.08842,ok,task2-final-rules-v1
95303417,84.806,0.15194,ok,task2-final-rules-v1
95303424,85.515,0.14485,ok,task2-final-rules-v1
95303425,89.568,0.10432,ok,task2-final-rules-v1
95303430,90.725,0.09275,ok,task2-final-rules-v1
95303434,92.455,0.07545,ok,task2-final-rules-v1
95303444,84.243,0.15757,ok,task2-final-rules-v1
95303448,84.083,0.15917,ok,task2-final-rules-v1
95303452,91.107,0.08893,ok,task2-final-rules-v1
95303460,89.243,0.10757,low_exposure_shrunk,task2-final-rules-v1
95303471,83.389,0.16611,ok,task2-final-rules-v1
95303474,91.204,0.08796,ok,task2-final-rules-v1
95303504,85.147,0.14853,ok,task2-final-rules-v1
95303511,90.198,0.09802,ok,task2-final-rules-v1
95303514,91.702,0.08298,ok,task2-final-rules-v1
95303515,88.79,0.1121,low_exposure_shrunk,task2-final-rules-v1
95303518,85.928,0.14072,ok,task2-final-rules-v1
95303519,89.413,0.10587,ok,task2-final-rules-v1
95303521,93.295,0.06705,ok,task2-final-rules-v1
95303535,91.263,0.08737,ok,task2-final-rules-v1
95303549,78.2,0.218,ok,task2-final-rules-v1
95303551,90.824,0.09176,ok,task2-final-rules-v1
95303552,91.855,0.08145,ok,task2-final-rules-v1
95303554,86.408,0.13592,ok,task2-final-rules-v1
95303557,88.79,0.1121,low_exposure_shrunk,task2-final-rules-v1
95303577,88.128,0.11872,ok,task2-final-rules-v1
95303579,89.588,0.10412,ok,task2-final-rules-v1
95303584,92.289,0.07711,ok,task2-final-rules-v1
95303585,85.876,0.14124,ok,task2-final-rules-v1
95303589,88.641,0.11359,ok,task2-final-rules-v1
95303608,87.193,0.12807,ok,task2-final-rules-v1
95303612,88.705,0.11295,ok,task2-final-rules-v1
95303615,90.265,0.09735,ok,task2-final-rules-v1
95303622,89.985,0.10015,ok,task2-final-rules-v1
95303625,88.414,0.11586,ok,task2-final-rules-v1
95303627,92.45,0.0755,ok,task2-final-rules-v1
95303629,91.662,0.08338,ok,task2-final-rules-v1
95303653,92.966,0.07034,ok,task2-final-rules-v1
95303664,89.24,0.1076,ok,task2-final-rules-v1
95303675,75.64,0.2436,ok,task2-final-rules-v1
95303677,83.397,0.16603,ok,task2-final-rules-v1
95303684,85.24,0.1476,ok,task2-final-rules-v1
95303701,84.769,0.15231,ok,task2-final-rules-v1
95303725,89.65,0.1035,low_exposure_shrunk,task2-final-rules-v1
95303730,98.361,0.01639,ok,task2-final-rules-v1
95303736,93.415,0.06585,ok,task2-final-rules-v1
95303740,90.107,0.09893,ok,task2-final-rules-v1
95303744,90.14,0.0986,ok,task2-final-rules-v1
95303756,90.023,0.09977,ok,task2-final-rules-v1
95303771,89.862,0.10138,ok,task2-final-rules-v1
95303787,78.65,0.2135,ok,task2-final-rules-v1
95303788,89.243,0.10757,low_exposure_shrunk,task2-final-rules-v1
95303797,71.08,0.2892,ok,task2-final-rules-v1
95303799,89.096,0.10904,low_exposure_shrunk,task2-final-rules-v1
95303802,90.043,0.09957,ok,task2-final-rules-v1
95303806,92.194,0.07806,ok,task2-final-rules-v1
95303839,82.827,0.17173,ok,task2-final-rules-v1
95303849,92.114,0.07886,ok,task2-final-rules-v1
95303858,90.522,0.09478,ok,task2-final-rules-v1
95303861,83.923,0.16077,ok,task2-final-rules-v1
95303863,85.214,0.14786,ok,task2-final-rules-v1
95303865,91.052,0.08948,ok,task2-final-rules-v1
95303868,90.262,0.09738,ok,task2-final-rules-v1
95303879,93.053,0.06947,ok,task2-final-rules-v1
95303940,86.728,0.13272,ok,task2-final-rules-v1
95303953,83.582,0.16418,ok,task2-final-rules-v1
95303966,84.548,0.15452,ok,task2-final-rules-v1
95303980,85.147,0.14853,ok,task2-final-rules-v1
95303988,88.441,0.11559,ok,task2-final-rules-v1
95303998,89.554,0.10446,ok,task2-final-rules-v1
95304000,87.437,0.12563,ok,task2-final-rules-v1
95304005,89.707,0.10293,ok,task2-final-rules-v1
95304014,91.478,0.08522,ok,task2-final-rules-v1
95304015,89.166,0.10834,ok,task2-final-rules-v1
95304048,88.533,0.11467,ok,task2-final-rules-v1
95304125,89.096,0.10904,low_exposure_shrunk,task2-final-rules-v1
95304257,78.782,0.21218,ok,task2-final-rules-v1
95304267,89.794,0.10206,ok,task2-final-rules-v1
95304282,89.243,0.10757,low_exposure_shrunk,task2-final-rules-v1
95304307,89.104,0.10896,ok,task2-final-rules-v1
95304343,89.096,0.10904,low_exposure_shrunk,task2-final-rules-v1
95304356,89.243,0.10757,low_exposure_shrunk,task2-final-rules-v1
95304447,76.871,0.23129,ok,task2-final-rules-v1
95304602,81.111,0.18889,ok,task2-final-rules-v1
95304626,89.243,0.10757,low_exposure_shrunk,task2-final-rules-v1
95304811,88.635,0.11365,low_exposure_shrunk,task2-final-rules-v1
95304837,89.243,0.10757,low_exposure_shrunk,task2-final-rules-v1
95304841,89.243,0.10757,low_exposure_shrunk,task2-final-rules-v1
95304993,78.34,0.2166,ok,task2-final-rules-v1
95305011,81.663,0.18337,ok,task2-final-rules-v1
95305020,89.096,0.10904,low_exposure_shrunk,task2-final-rules-v1
95305079,89.096,0.10904,low_exposure_shrunk,task2-final-rules-v1
95305116,89.65,0.1035,low_exposure_shrunk,task2-final-rules-v1
95305149,89.65,0.1035,low_exposure_shrunk,task2-final-rules-v1
95305248,89.243,0.10757,low_exposure_shrunk,task2-final-rules-v1
95305565,89.65,0.1035,low_exposure_shrunk,task2-final-rules-v1
95305637,89.65,0.1035,low_exposure_shrunk,task2-final-rules-v1
95305669,71.712,0.28288,ok,task2-final-rules-v1
95305672,89.65,0.1035,low_exposure_shrunk,task2-final-rules-v1
95305704,88.79,0.1121,low_exposure_shrunk,task2-final-rules-v1
95305767,88.794,0.11206,ok,task2-final-rules-v1
95305802,89.652,0.10348,ok,task2-final-rules-v1
95305846,89.243,0.10757,low_exposure_shrunk,task2-final-rules-v1
95305871,89.096,0.10904,low_exposure_shrunk,task2-final-rules-v1
95305891,89.65,0.1035,low_exposure_shrunk,task2-final-rules-v1
95305909,88.635,0.11365,low_exposure_shrunk,task2-final-rules-v1
95305975,88.251,0.11749,ok,task2-final-rules-v1
95306086,89.65,0.1035,low_exposure_shrunk,task2-final-rules-v1
95306090,89.65,0.1035,low_exposure_shrunk,task2-final-rules-v1
95800038,94.445,0.05555,ok,task2-final-rules-v1
95800214,83.857,0.16143,ok,task2-final-rules-v1
95800306,81.686,0.18314,ok,task2-final-rules-v1
95800455,89.666,0.10334,ok,task2-final-rules-v1
95800549,89.096,0.10904,low_exposure_shrunk,task2-final-rules-v1
95800572,84.1,0.159,ok,task2-final-rules-v1
95800700,80.436,0.19564,ok,task2-final-rules-v1
95800756,90.984,0.09016,ok,task2-final-rules-v1
95801036,78.99,0.2101,ok,task2-final-rules-v1
95801894,88.79,0.1121,low_exposure_shrunk,task2-final-rules-v1
95801991,89.243,0.10757,low_exposure_shrunk,task2-final-rules-v1
95802002,92.635,0.07365,ok,task2-final-rules-v1
